@relation 'Dados Tubarão - Morfometria'

@attribute Espécie {G. cuvier,C.leucas,R. porosus,C. limbatus,C. acronotus,Sphyrna Itamaracá,S. lewini,S. mokarran}
@attribute mandíbula {S,I}
@attribute lado {D,E}
@attribute medida {L,AL,PaP}
@attribute D1 numeric
@attribute D2 numeric
@attribute D3 numeric
@attribute D4 numeric
@attribute D5 numeric
@attribute D6 numeric
@attribute D7 numeric
@attribute D8 numeric
@attribute D9 numeric
@attribute D10 numeric

@data
G. cuvier,S,D,L,6.24,6.35,7.4,6.29,6.65,6.24,5.91,4.87,4.16,3.9
G. cuvier,S,D,AL,3.68,4.2,4.56,4.39,4.41,3.68,2.77,2.8,2.27,1.7
G. cuvier,S,D,PaP,6.9,6.82,5.73,7.89,6.98,7.24,6.06,5.24,9,6.9
G. cuvier,I,D,L,5.54,5.68,6.17,6.27,6.46,6.24,5.56,5.4,4.58,3.15
G. cuvier,I,D,AL,3.11,3.25,3.54,3.76,3.82,3.03,2.65,2.45,2.03,1.51
G. cuvier,I,D,PaP,3.71,6.29,6.85,8.01,7.75,6.92,6.84,5.79,4.53,3.71
G. cuvier,S,D,L,5.76,5.59,5.96,5.83,6.58,5.86,5.76,4.37,4.33,2.81
G. cuvier,S,D,AL,3.62,3.63,3.84,3.96,3.67,3.62,2.88,1.95,1.65,1.14
G. cuvier,S,D,PaP,6.51,6.7,6.32,6.85,7.09,5.99,6.81,4.61,3.95,6.51
G. cuvier,I,D,L,4.94,5.88,6.09,6.35,5.81,5.78,5.76,5.01,5.78,2.9
G. cuvier,I,D,AL,2.93,3.06,3.23,3.91,3.31,3.04,2.92,2.01,2.01,1.47
G. cuvier,I,D,PaP,4.7,6.5,6.89,7.04,7.16,6.79,6.26,6.84,6.645,3.6
C.leucas,S,D,L,3.67,4.19,6.13,8.01,8.56,8.46,8.19,7.5,8.06,7.94
C.leucas,S,D,AL,6.7,5.44,6.93,7.86,7.66,6.9,7.26,5.11,5.44,4.58
C.leucas,S,D,PaP,5.9,3.47,4.8,6.9,6.15,7.49,6.96,6.31,5.61,5.03
C.leucas,I,D,L,3.69,5.8,6.8,7.42,8.08,3.27,7.73,7.33,6.75,5.66
C.leucas,I,D,AL,3.98,4.78,4.86,4.53,3.24,3.22,3.66,3.15,2.33,1.59
C.leucas,I,D,PaP,6.81,7.98,7.03,7.81,7.4,6.6,7.87,6.4,5.94,4.76
R. porosus,S,D,L,2.51,4.38,4.05,4.96,4.23,4.53,4.7,4.72,4.02,3.62
R. porosus,S,D,AL,2.91,3.08,3.34,3.24,3.48,2.99,3.17,2.49,2.13,1.92
R. porosus,S,D,PaP,3.43,3.43,3.06,3.6,4.11,3.69,3.91,3.17,3.26,2.41
R. porosus,I,D,L,3.78,4.31,4.18,4.75,4.8,4.43,4.3,4.01,3.61,3.74
R. porosus,I,D,AL,3.3,3.19,2.92,2.46,2.6,2.57,2.65,1.92,1.31,1.52
R. porosus,I,D,PaP,4.39,4.15,3.44,3.9,3.93,3.63,3.03,2.71,2.55,2.82
R. porosus,S,D,L,2.68,3.98,4.54,5.2,5.23,5.6,5.47,5.01,4.92,4.9
R. porosus,S,D,AL,2.32,3.12,3.33,3.39,3.65,3.61,3.31,3.15,2.59,1.93
R. porosus,S,D,PaP,3.28,3.37,3.03,3.94,4.5,4.34,4.24,4.22,3.95,3.61
R. porosus,I,D,L,2.71,3.78,4.37,5.13,5.07,5.2,5.28,5,4.56,4.47
R. porosus,I,D,AL,2.49,3.46,4.04,3.57,3.38,3.41,3.22,2.61,1.72,1.58
R. porosus,I,D,PaP,4.53,5.17,4.22,4.7,5.03,4.26,3.9,4.15,2.65,3.14
R. porosus,S,D,L,4.29,5.4,6.23,7.11,6.31,7.47,6.23,6.31,6.23,5.54
R. porosus,S,D,AL,4.09,3.67,3.485,4.28,3.485,3.485,3.485,3.3,3.18,1.98
R. porosus,S,D,PaP,5.12,4.805,4.91,4.91,4.91,4.91,4.91,5.91,4.7,4.23
R. porosus,I,D,L,3.89,5.31,5.83,6.47,7.47,6.29,6.88,6.76,6.19,4.92
R. porosus,I,D,AL,3.54,3.57,3.52,3.94,3.27,3.5,3.19,2.79,2.01,1.72
R. porosus,I,D,PaP,4.69,6.7,6.64,7.13,6.73,6.17,5.77,5.38,4.5,4.71
C. limbatus,S,D,L,7.75,4.66,7.75,7.75,7.75,8.36,8.86,7.75,7.75,7.63
C. limbatus,S,D,AL,5.465,6.07,5.465,5.465,5.465,5.36,5.74,5.57,5.465,4.57
C. limbatus,S,D,PaP,6.72,6.72,6.72,6.72,6.72,11.6,6.85,6.72,6.72,6.59
C. limbatus,I,D,L,3.94,5.7,6.28,6.96,7.39,7.52,7.34,6.86,6.91,6.935
C. limbatus,I,D,AL,4.02,5.3,4.97,4.58,4.5,4.11,3.79,3.6,4.305,4.4025
C. limbatus,I,D,PaP,6.92,7.92,8.69,7.22,7.78,8.29,7.35,6.65,6.05,6.65
C. acronotus,S,D,L,3.61,4.19,5.45,6.89,7.34,6.39,7.07,7.26,6.39,6.18
C. acronotus,S,D,AL,4.45,4.92,5.59,6.58,6.19,5.255,5.255,5.69,4.64,2.45
C. acronotus,S,D,PaP,3.86,3.22,4.04,5.11,4.33,4.33,5.72,5.36,4.62,3.16
C. acronotus,I,D,L,5.725,4.45,5.87,6.5,5.725,5.58,6.56,6.25,5.31,5.27
C. acronotus,I,D,AL,4.29,4.29,4.3,3.14,3.38,3.79,3.62,2.87,2.42,2.06
C. acronotus,I,D,PaP,6.02,6.25,6.52,6.02,6.02,6.81,6.02,5.68,4.38,3.82
Sphyrna Itamaracá,S,D,L,4.71,5.72,6.72,6.8,7.83,8.42,8.5,7.73,8.84,8.06
Sphyrna Itamaracá,S,D,AL,5.27,4.27,5.13,5.82,7.82,7.07,6.54,6.61,5.69,5.23
Sphyrna Itamaracá,S,D,PaP,5.26,5.01,6.69,6.24,5.93,6.51,5.7,5.05,5.6,5.6
Sphyrna Itamaracá,I,D,L,3.87,3.83,7.33,8.3,6.1,7.39,5.94,7.52,5.71,5.26
Sphyrna Itamaracá,I,D,AL,3.66,2.72,6.57,6.21,6.52,5.46,7.03,5.29,7.03,6.77
Sphyrna Itamaracá,I,D,PaP,4.72,8.54,8.56,7.43,7.4,7.91,6.69,7.28,5.39,6.21
R. porosus,S,D,L,2.77,2.89,4.47,4.33,4.65,4.47,4.74,5.06,4.61,4.06
R. porosus,S,D,AL,2.26,1.78,3.58,4.18,3.94,3.09,3.56,1.92,1.81,1.75
R. porosus,S,D,PaP,1.97,3.02,3.26,3.54,8.09,4.39,2.8,3.65,2.67,3.26
R. porosus,I,D,L,2.32,3.67,3.67,3.61,3.88,3.67,3.85,3.84,3.07,3.2
R. porosus,I,D,AL,2.61,2.73,3.7,3.5,2.73,2.73,2.83,2.18,1.59,1.58
R. porosus,I,D,PaP,7.85,4.22,4.86,4.48,4.71,4.22,4.22,3.58,3.7,3.64
R. porosus,S,D,L,2.96,2.91,3.52,3.7,5.51,4.97,4.86,4.91,4.21,4.86
R. porosus,S,D,AL,3.27,3.43,3.65,4.88,4.95,4.96,4.75,4.43,4.26,3.03
R. porosus,S,D,PaP,2.97,3.09,3.3,3.7,4.79,3.87,5.67,4.63,3.87,3.47
R. porosus,I,D,L,3.11,3.29,3.23,5.43,5.39,5.68,5.3,5.45,5.83,4.91
R. porosus,I,D,AL,2.02,2.73,4.1,3.96,3.49,3.82,4.23,2.25,3.96,2.43
R. porosus,I,D,PaP,3.41,4.5,4.96,4.35,5.59,5.03,4.65,4.45,4.4,3.77
R. porosus,S,D,L,2.46,2.82,3.67,3.31,4.34,4.36,4.03,4.42,3.44,2.76
R. porosus,S,D,AL,2.55,2.53,2.69,3.4,3.32,3.6,4.01,3.38,3.31,2.02
R. porosus,S,D,PaP,3.32,3.18,2.52,3.82,3.53,3.6,3.59,3.79,3.11,2.51
R. porosus,I,D,L,2.73,3.39,4.55,3.79,4.88,3.79,4.41,4.25,3.46,3.21
R. porosus,I,D,AL,2.49,3.94,3.06,2.36,2.68,2.53,2.43,2.62,2.21,2.18
R. porosus,I,D,PaP,4.36,3.63,3.74,4.23,4.86,3.86,3.88,3.2,3.21,2.81
C. acronotus,S,D,L,3.37,4.28,5.92,5.79,5.91,5.74,4.11,5.11,5.75,4.51
C. acronotus,S,D,AL,5.92,5.21,7.26,6.19,6.3,5.99,6.84,4.32,4.49,2.36
C. acronotus,S,D,PaP,2.58,2.64,3.76,4.19,5.29,6.1,5.33,5.39,2.68,4.24
C. acronotus,I,D,L,3.46,5.22,5.63,6.17,5.63,5.63,6.15,5.63,5.63,5.63
C. acronotus,I,D,AL,4.28,4.98,6.21,6.54,4.98,4.98,3.02,4.98,4.98,4.98
C. acronotus,I,D,PaP,6.38,6.14,6.04,6.14,6.14,6.14,6.14,6.14,6.14,6.14
R. porosus,S,D,L,0.28,0.22,0.38,0.38,0.46,0.42,0.38,0.4,0.33,0.34
R. porosus,S,D,PaP,0.22,0.27,0.33,0.38,0.42,0.33,0.38,0.34,0.26,0.3
R. porosus,S,D,AL,0.27,0.28,0.33,0.33,0.32,0.31,0.34,0.3,0.17,0.12
R. porosus,I,D,L,0.2,0.26,0.31,0.22,0.18,0.37,0.29,0.23,0.21,0.23
R. porosus,I,D,PaP,0.31,0.33,0.34,0.37,0.31,0.36,0.37,0.23,0.36,0.36
R. porosus,I,D,AL,0.25,0.23,0.15,0.24,0.34,0.22,0.16,0.14,0.1,0.14
C. acronotus,I,D,L,0.3,0.6,0.7,0.9,0.5,0.6,0.8,0.6,0.6,0.5
C. acronotus,I,D,AL,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.4,0.3,0.2
C. acronotus,I,D,PaP,0.4,0.7,0.9,0.7,0.7,0.9,0.8,0.8,0.6,0.6
C. limbatus,I,D,L,0.4,0.6,0.6,0.7,0.8,0.7,0.8,0.8,0.6,0.8
C. limbatus,I,D,AL,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5
C. limbatus,I,D,PaP,0.3,0.8,0.9,0.8,0.8,0.9,0.7,0.6,0.4,0.4
C. limbatus,I,D,L,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2
C. limbatus,I,D,AL,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2
C. limbatus,I,D,PaP,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
C. acronotus,I,D,L,0.4,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7
C. acronotus,I,D,AL,0.4,0.6,0.6,0.5,0.4,0.4,0.45,0.475,0.4625,0.45625
C. acronotus,I,D,PaP,0.3,0.6,0.8,0.8,0.7,0.8,0.75,0.775,0.7875,0.78125
C. acronotus,I,D,L,0.3,0.4,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.2
C. acronotus,I,D,AL,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3
C. acronotus,I,D,PaP,0.2,0.5,0.6,0.7,0.6,0.6,0.7,0.6,0.65,0.625
C. acronotus,I,D,L,0.5,0.6,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.6
C. acronotus,I,D,AL,0.4,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3
C. acronotus,I,D,PaP,0.4,0.9,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.6
C. acronotus,I,D,L,0.3,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.3
C. acronotus,I,D,AL,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.3,0.3
C. acronotus,I,D,PaP,0.4,0.6,0.7,0.7,0.6,0.7,0.6,0.5,0.6,0.6
R. porosus,I,D,L,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.3,0.3
R. porosus,I,D,AL,0.2,0.3,0.3,0.3,0.25,0.2,0.2,0.2,0.225,0.2375
R. porosus,I,D,L,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4
R. porosus,I,D,AL,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3
R. porosus,I,D,PaP,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4
C. limbatus,I,D,L,0.2,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
C. limbatus,I,D,AL,0.3,0.4,0.35,0.4,0.4,0.4,0.4,0.3,0.3,0.3
C. limbatus,I,D,PaP,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
C. acronotus,I,D,L,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3
C. acronotus,I,D,AL,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
C. acronotus,I,D,PaP,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
C. limbatus,I,D,L,0.9,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.9,0.1
C. limbatus,I,D,AL,0.9,0.11,0.11,0.11,0.1,0.1,0.1,0.9,0.9,0.9
C. limbatus,I,D,PaP,0.1,0.11,0.11,0.14,0.11,0.9,0.1,0.8,0.9,0.9
C. acronotus,S,D,L,0.24,0.31,0.33,0.42,0.4,0.37,0.35,0.31,0.25,0.21
C. acronotus,S,D,PaP,0.22,0.14,0.29,0.31,0.32,0.33,0.24,0.27,0.22,0.19
C. acronotus,S,D,AL,0.31,0.3,0.29,0.37,0.39,0.33,0.33,0.28,0.24,0.2
C. acronotus,I,D,L,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,D,PaP,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,D,AL,0,0,0,0,0,0,0,0,0,0
R. porosus,S,D,L,0.41,0.38,0.61,0.61,0.36,0.68,0.41,0.61,0.46,0.34
R. porosus,S,D,PaP,0.43,0.47,0.48,0.44,0.47,0.51,0.43,0.42,0.41,0.31
R. porosus,S,D,AL,0.47,0.48,0.45,0.47,0.41,0.45,0.37,0.36,0.31,0.26
R. porosus,I,D,L,0.33,0.45,0.44,0.62,0.62,0.66,0.5,0.51,0.42,0.41
R. porosus,I,D,PaP,0.43,0.51,0.43,0.48,0.52,0.44,0.51,0.42,0.41,0.31
R. porosus,I,D,AL,0.48,0.47,0.41,0.49,0.42,0.36,0.41,0.33,0.3,0.27
R. porosus,S,D,L,0.28,0.22,0.38,0.38,0.46,0.42,0.38,0.4,0.33,0.34
R. porosus,S,D,PaP,0.22,0.27,0.33,0.38,0.42,0.33,0.38,0.34,0.26,0.3
R. porosus,S,D,AL,0.27,0.28,0.33,0.33,0.32,0.31,0.34,0.3,0.17,0.12
R. porosus,I,D,L,0.2,0.26,0.31,0.22,0.18,0.37,0.29,0.23,0.21,0.23
R. porosus,I,D,PaP,0.31,0.33,0.34,0.37,0.31,0.36,0.37,0.23,0.36,0.36
R. porosus,I,D,AL,0.25,0.23,0.15,0.24,0.34,0.22,0.16,0.14,0.1,0.14
R. porosus,S,D,L,0.25,0.24,0.4,0.51,0.43,0.53,0.44,0.36,0.51,0.36
R. porosus,S,D,PaP,0.37,0.44,0.77,0.36,0.34,0.41,0.43,0.34,0.3,0.37
R. porosus,S,D,AL,0.27,0.34,0.4,0.34,0.3,0.35,0.31,0.27,0.22,0.11
R. porosus,I,D,L,0.27,0.36,0.33,0.44,0.5,0.44,0.42,0.46,0.3,0.31
R. porosus,I,D,PaP,0.44,0.5,0.33,0.46,0.44,0.43,0.4,0.41,0.36,0.3
R. porosus,I,D,AL,0.25,0.34,0.5,0.22,0.26,0.33,0.26,0.27,0.24,0.13
R. porosus,S,D,L,0.21,0.16,0.27,0.3,0.41,0.41,0.34,0.41,0.48,0.25
R. porosus,S,D,PaP,0.22,0.25,0.21,0.23,0.33,0.35,0.22,0.43,0.31,0.32
R. porosus,S,D,AL,0.2,0.24,0.27,0.33,0.3,0.31,0.32,0.24,0.15,0.19
R. porosus,I,D,L,0.15,0.25,0.22,0.25,0.31,0.33,0.3,0.28,0.22,0.2
R. porosus,I,D,PaP,0.31,0.34,0.35,0.48,0.39,0.25,0.26,0.16,0.29,0.225
R. porosus,I,D,AL,0.17,0.15,0.16,0.17,0.33,0.2,0.27,0.27,0.21,0.21
G. cuvier,S,D,L,2.6,2.88,3.04,3.03,3.1,3.08,2.72,2.39,1.82,1.78
G. cuvier,S,D,PaP,2.71,2.53,2.96,2.98,2.84,3.22,2.45,2.19,1.6,2.71
G. cuvier,S,D,AL,1.93,2.14,2.13,2.02,1.93,1.69,1.52,1.06,0.79,0.55
G. cuvier,I,D,L,2.25,2.59,2.98,3.01,3.08,2.98,2.78,2.58,2.03,1.55
G. cuvier,I,D,PaP,2.81,3.15,2.92,3.21,2.79,3.36,2.83,2.51,1.82,1.01
G. cuvier,I,D,AL,1.54,1.95,1.89,2.01,1.95,1.67,1.5,1.3,0.75,0.69
G. cuvier,S,D,L,1.19,1.56,1.52,1.62,1.7,1.6,1.7,1.56,1.19,0.97
G. cuvier,S,D,PaP,1.83,1.87,2.04,2.36,2.42,2.14,1.88,1.69,1.27,0.78
G. cuvier,S,D,AL,1.14,1.23,1.15,1.31,1.08,0.99,0.89,0.72,0.51,0.37
G. cuvier,I,D,L,1.3,1.45,1.54,1.66,1.82,1.91,1.8,1.56,1.34,1.08
G. cuvier,I,D,PaP,1.74,1.89,2.15,2.19,2.11,2.01,1.87,1.64,1.22,2.04
G. cuvier,I,D,AL,0.94,1.14,1.15,1.23,1.13,1.05,0.92,0.79,0.58,0.4
S. lewini,S,D,L,0.62,0.66,0.72,0.8,0.93,1.06,1.01,0.96,0.96,0.89
S. lewini,S,D,PaP,0.72,0.73,0.72,0.87,0.98,0.82,0.62,0.83,1.06,0.82
S. lewini,S,D,AL,0.61,0.76,0.75,0.74,0.74,0.82,0.84,0.73,0.69,0.61
S. lewini,I,D,L,0.9,0.89,0.93,1.01,0.96,0.96,0.9375,0.945,0.91,0.99
S. lewini,I,D,PaP,0.98,0.94,1.2,1.3,0.895,0.895,0.96,0.85,0.85,0.74
S. lewini,I,D,AL,0.88,0.9,0.89,0.85,0.8,0.82,0.865,0.73,0.73,0.62
C.leucas,S,D,L,1.17,1.37,1.49,1.61,1.9,1.7,1.59,1.65,1.14,1.34
C.leucas,S,D,PaP,1.3,1.83,1.48,2.17,1.44,1.56,1.51,1.56,1.36,1.25
C.leucas,S,D,AL,1.15,1.3,1.26,1.39,1.38,1.26,1.27,1.16,1.11,0.95
